cell ,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,
1,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,7,,,,,,,,,,,8,,,,,,,,,,,9,,,,,,,,,,,10,,,,,,,,,
Cell_01_0002_SpTimes,Cell_01_0003_SpTimes,Cell_01_0004_SpTimes,Cell_01_0005_SpTimes,Cell_01_0006_SpTimes,Cell_01_0007_SpTimes,Cell_01_0008_SpTimes,Cell_01_0009_SpTimes,Cell_01_0010_SpTimes,,Cell_01_0011_SpTimes,Cell_01_0012_SpTimes,Cell_01_0013_SpTimes,Cell_01_0014_SpTimes,Cell_01_0015_SpTimes,Cell_01_0016_SpTimes,Cell_01_0017_SpTimes,Cell_01_0018_SpTimes,Cell_01_0019_SpTimes,Cell_01_0020_SpTimes,,Cell_01_0021_SpTimes,Cell_01_0023_SpTimes,Cell_01_0022_SpTimes,Cell_01_0024_SpTimes,Cell_01_0025_SpTimes,Cell_01_0026_SpTimes,Cell_01_0030_SpTimes,,Cell_01_0121_SpTimes,Cell_01_0122_SpTimes,Cell_01_0123_SpTimes,Cell_01_0124_SpTimes,Cell_01_0125_SpTimes,Cell_01_0126_SpTimes,Cell_01_0127_SpTimes,Cell_01_0128_SpTimes,Cell_01_0129_SpTimes,Cell_01_0130_SpTimes,,Cell_01_0031_SpTimes,Cell_01_0032_SpTimes,Cell_01_0033_SpTimes,Cell_01_0034_SpTimes,Cell_01_0035_SpTimes,Cell_01_0036_SpTimes,Cell_01_0037_SpTimes,Cell_01_0038_SpTimes,Cell_01_0039_SpTimes,Cell_01_0040_SpTimes,,Cell_01_0041_SpTimes,Cell_01_0042_SpTimes,Cell_01_0043_SpTimes,Cell_01_0044_SpTimes,Cell_01_0045_SpTimes,Cell_01_0046_SpTimes,Cell_01_0047_SpTimes,Cell_01_0048_SpTimes,Cell_01_0049_SpTimes,Cell_01_0050_SpTimes,,Cell_01_0061_SpTimes,Cell_01_0062_SpTimes,Cell_01_0063_SpTimes,Cell_01_0064_SpTimes,Cell_01_0065_SpTimes,Cell_01_0066_SpTimes,Cell_01_0067_SpTimes,Cell_01_0068_SpTimes,Cell_01_0069_SpTimes,Cell_01_0070_SpTimes,,Cell_01_0071_SpTimes,Cell_01_0072_SpTimes,Cell_01_0073_SpTimes,Cell_01_0074_SpTimes,Cell_01_0075_SpTimes,Cell_01_0076_SpTimes,Cell_01_0077_SpTimes,Cell_01_0078_SpTimes,Cell_01_0079_SpTimes,Cell_01_0080_SpTimes,,Cell_01_0081_SpTimes,Cell_01_0082_SpTimes,Cell_01_0083_SpTimes,Cell_01_0084_SpTimes,Cell_01_0085_SpTimes,Cell_01_0086_SpTimes,Cell_01_0087_SpTimes,Cell_01_0088_SpTimes,Cell_01_0089_SpTimes,Cell_01_0090_SpTimes,,Cell_01_0091_SpTimes,Cell_01_0092_SpTimes,Cell_01_0093_SpTimes,Cell_01_0094_SpTimes,Cell_01_0095_SpTimes,Cell_01_0096_SpTimes,Cell_01_0100_SpTimes,Cell_01_0099_SpTimes,Cell_01_0098_SpTimes,Cell_01_0097_SpTimes
0.0231491,0.0053076,0.0343071,0.00845161,0.0405731,0.0288527,0.00507688,0.0180115,0.00427964,,0.0120828,0.035555,0.0483126,0.00530316,0.0312495,0.0035047,0.0067448,0.00618536,0.0172821,0.0319821,,0.0076609,0.0204538,0.0142557,0.00152685,0.0225347,0.00262532,0.0139775,,0.0140719,0.0205815,0.0160089,0.00242305,0.000780899,0.0307855,0.0428555,0.00378521,0.080363,0.00978506,,0.00148319,0.0104743,0.032303,0.0373433,0.0436746,0.0648042,0.0338892,0.0386808,0.0434841,0.020821,,0.026993,0.03813,0.0196145,0.0177078,0.00944517,0.0174569,0.0598735,0.0470084,0.0523894,0.0234774,,0.00248518,0.0343424,0.00582013,0.000335435,0.000289827,0.0188745,0.00667804,0.00847679,0.00954988,0.00639713,,0.00700506,0.00487243,0.00253089,0.0185273,0.0200318,0.00366484,0.0180436,0.013537,0.00601817,0.0160046,,0.0153321,0.0142503,0.0143803,0.00638391,0.00531232,0.00251449,0.0171244,0.0207842,0.001749,0.00278734,,0.0176013,0.0196508,0.0124383,0.0171437,0.0150798,0.0198526,0.00182015,0.0168104,0.0194861,0.0170139
0.0529083,0.0483429,0.0608291,0.0403783,0.0724855,0.0589413,0.0424874,0.0534212,0.0341156,,0.0662541,0.0779902,0.0808813,0.0591861,0.168795,0.0334463,0.0406399,0.048017,0.0581957,0.0808426,,0.0233452,0.0450967,0.0389721,0.048012,0.0520431,0.037999,0.0327387,,0.0336942,0.0382423,0.0376455,0.0239647,0.0371156,0.0861886,0.139764,0.0987033,0.135569,0.0819629,,0.0792225,0.0859508,0.10405,0.10613,0.11665,0.126931,0.104322,0.112834,0.11076,0.0827728,,0.0856464,0.101377,0.0839279,0.0864152,0.0615326,0.0862312,0.116535,0.109785,0.118669,0.0917635,,0.0160294,0.0451781,0.0181162,0.0145995,0.0138051,0.0314095,0.0181683,0.0235792,0.0222087,0.0191967,,0.0305896,0.0255456,0.0248858,0.035663,0.0387483,0.0258395,0.0361684,0.0319856,0.0241142,0.0365374,,0.042387,0.0361312,0.0405879,0.0304284,0.0311517,0.032041,0.0450944,0.0450174,0.0287368,0.0312374,,0.0387915,0.0427691,0.0354427,0.0387605,0.0362011,0.0653027,0.0255389,0.0369827,0.041714,0.0372705
0.107603,0.0772244,0.0916689,0.0743731,0.0977483,0.0935975,0.0902966,0.0876616,0.0649346,,0.130693,0.119299,0.120893,0.1091,0.211679,0.0674485,0.0821598,0.0991199,0.0976684,0.128729,,0.0458529,0.072274,0.0671816,0.0827123,0.0775841,0.06868,0.0537381,,0.051721,0.0578272,0.0578107,0.0480506,0.0781881,0.138407,0.20884,0.16142,0.231819,0.156444,,0.15148,0.157668,0.178165,0.177553,0.192536,0.19627,0.17455,0.186916,0.189591,0.149494,,0.142418,0.167778,0.150238,0.141308,0.123899,0.151782,0.185402,0.171441,0.184422,0.159838,,0.0280837,0.0591257,0.0313652,0.0241283,0.0258838,0.0419474,0.0315576,0.0352074,0.0358599,0.0306733,,0.0469896,0.0456341,0.0436622,0.0555765,0.0591455,0.047001,0.0540193,0.0529187,0.0430035,0.0563681,,0.0715243,0.0672451,0.0643709,0.0591027,0.0559537,0.0559481,0.0741414,0.0703086,0.0555082,0.0544421,,0.06503,0.0671272,0.0583791,0.0601361,0.0596342,0.0886891,0.0458437,0.0610825,0.0649592,0.0595938
0.143107,0.11553,0.122837,0.105483,0.132892,0.120845,0.126736,0.116022,0.104089,,0.183207,0.171662,0.16404,0.146689,0.328274,0.0969475,0.115927,0.149416,0.152196,0.192933,,0.0713822,0.102228,0.0966343,0.108746,0.109528,0.0920632,0.0736715,,0.0701901,0.0763184,0.0792793,0.0760073,0.111067,0.198389,0.293597,0.221193,0.299317,0.247229,,0.227868,0.233681,0.244673,0.251679,0.266745,0.277797,0.247052,0.253654,0.259811,0.227195,,0.205758,0.226149,0.214242,0.203222,0.186485,0.211786,0.257883,0.244536,0.244034,0.235809,,0.0384525,0.0706147,0.0429696,0.0375806,0.0381206,0.0531848,0.0418482,0.046085,0.0472615,0.0428903,,0.0673706,0.0669339,0.0668299,0.0754815,0.0765054,0.0676402,0.0755971,0.0745751,0.0607494,0.0768375,,0.0991638,0.0915053,0.0938559,0.0876204,0.0818637,0.0813314,0.102965,0.0947593,0.0810758,0.0795978,,0.0854319,0.0882216,0.0787809,0.0835071,0.0812253,0.108924,0.0681575,0.0820437,0.0853624,0.0825568
0.185336,0.151046,0.153676,0.136013,0.170816,0.162002,0.171125,0.148205,0.131313,,0.225622,0.219688,0.19747,0.190632,0.363421,0.128567,0.146828,0.186962,0.200519,0.242609,,0.0967614,0.121385,0.120713,0.137742,0.132846,0.122389,0.090746,,0.0925771,0.0928528,0.0953405,0.0961251,0.167733,0.251519,0.341392,0.323209,0.388571,0.305573,,0.302407,0.30431,0.316541,0.324898,0.337682,0.352748,0.320643,0.323637,0.329687,0.302875,,0.261197,0.292401,0.272565,0.260472,0.249695,0.291509,0.314683,0.307417,0.309371,0.29476,,0.0504151,0.0931566,0.0545438,0.0481046,0.051386,0.0763439,0.0539069,0.0593387,0.062792,0.0552375,,0.0880332,0.0885729,0.0896225,0.0935747,0.0978079,0.0883383,0.0938886,0.0914633,0.080554,0.0964585,,0.12478,0.121319,0.11911,0.116698,0.109501,0.105253,0.128417,0.122096,0.10309,0.104284,,0.106354,0.1134,0.103067,0.105566,0.108034,0.133753,0.0932405,0.107342,0.110735,0.103331
0.218188,0.181241,0.182556,0.175303,0.205225,0.194234,0.199038,0.216241,0.154456,,0.275658,0.277198,0.268424,0.229153,0.390027,0.157781,0.184099,0.236375,0.237924,0.292113,,0.125922,0.150453,0.151674,0.165364,0.157141,0.14889,0.109457,,0.110476,0.112633,0.113983,0.125318,0.209539,0.293686,0.412402,0.381808,0.464395,0.325388,,0.380142,0.375322,0.385876,0.402944,0.402985,0.429199,0.382865,0.396509,0.395902,0.373749,,0.326917,0.361798,0.342248,0.314999,0.3094,0.349934,0.380337,0.377312,0.37343,0.364451,,0.0608881,0.103894,0.0679823,0.0609925,0.0631172,0.101567,0.0666461,0.0706206,0.073023,0.0686261,,0.10758,0.10892,0.107997,0.114419,0.117451,0.107982,0.111286,0.108107,0.0997486,0.116034,,0.154478,0.14498,0.142071,0.145299,0.134959,0.131532,0.152417,0.147456,0.130222,0.129962,,0.129997,0.136919,0.128511,0.128806,0.128759,0.155377,0.116127,0.127917,0.131572,0.124647
0.262565,0.206543,0.209165,0.207465,0.236772,0.240089,0.27008,0.25691,0.18795,,0.324903,0.314966,0.300415,0.271502,0.446899,0.188515,0.227781,0.274203,0.278637,0.331876,,0.153739,0.177333,0.179487,0.191409,0.188822,0.175323,0.125558,,0.129162,0.132204,0.135066,0.145703,0.246229,0.355888,0.480101,0.627417,0.580363,0.375806,,0.459374,0.444341,0.459674,0.480893,0.481291,0.498748,0.449844,0.461762,0.471342,0.444706,,0.395158,0.423821,0.407727,0.367337,0.365808,0.417435,0.442876,0.447088,0.447503,0.436041,,0.0736941,0.115277,0.078042,0.0744966,0.0750728,0.114042,0.0785812,0.0817572,0.084129,0.0812154,,0.128277,0.128693,0.124631,0.13303,0.140767,0.129398,0.131563,0.127101,0.114351,0.135227,,0.17687,0.169402,0.167502,0.169329,0.159068,0.159929,0.180723,0.170988,0.154094,0.157031,,0.156441,0.1586,0.149793,0.152697,0.152907,0.17744,0.136399,0.151241,0.153415,0.148086
0.311227,0.235764,0.243317,0.233304,0.275714,0.274937,0.311375,0.298605,0.213387,,0.36287,0.359756,0.344992,0.314783,0.47415,0.218529,0.272822,0.354231,0.328088,0.367632,,0.172953,0.201988,0.205815,0.213052,0.216112,0.200264,0.143452,,0.149614,0.153865,0.155713,0.170453,0.323382,0.407226,0.591335,0.727191,0.735625,0.500332,,0.538091,0.516686,0.529511,0.555364,0.552276,0.578098,0.515315,0.535797,0.549322,0.511691,,0.468666,0.48573,0.468734,0.432293,0.419766,0.48117,0.53517,0.499008,0.513772,0.498914,,0.0857737,0.140298,0.0903909,0.0849784,0.0858679,0.138365,0.0890606,0.0923377,0.0970084,0.0910167,,0.148273,0.150677,0.143703,0.152647,0.160746,0.147913,0.148954,0.143804,0.131501,0.154225,,0.204109,0.197833,0.191798,0.192844,0.187892,0.189988,0.209639,0.200901,0.180618,0.180805,,0.179974,0.185414,0.173384,0.177705,0.17631,0.201918,0.159976,0.173988,0.176669,0.170016
0.389739,0.274763,0.286108,0.26254,0.30938,0.305993,0.346418,0.346551,0.244134,,0.398812,0.393847,0.386169,0.346735,0.509144,0.252174,0.307004,0.395886,0.373535,0.406619,,0.194331,0.2301,0.230175,0.237957,0.246949,0.229413,0.161456,,0.168795,0.170882,0.175568,0.197495,0.369465,0.459247,0.651042,0.785396,0.844256,0.577886,,0.617211,0.590504,0.603841,0.627498,0.630107,0.653301,0.581251,0.610119,0.610116,0.573346,,0.524623,0.551573,0.53141,0.486884,0.484235,0.547956,0.596164,0.565519,0.57485,0.565301,,0.0975743,0.177338,0.103009,0.0957021,0.0997399,0.151145,0.101608,0.104974,0.107489,0.102861,,0.165673,0.170562,0.162889,0.173129,0.181292,0.166927,0.165388,0.159556,0.152362,0.174745,,0.230005,0.224415,0.219467,0.219688,0.210657,0.215375,0.232903,0.225591,0.20456,0.207382,,0.203606,0.209838,0.198254,0.200588,0.198506,0.222163,0.180268,0.195923,0.197273,0.19362
0.42002,0.350333,0.319391,0.292452,0.333913,0.3392,0.378581,0.378342,0.274436,,0.442113,0.434434,0.443002,0.397971,0.540048,0.290611,0.348148,0.449729,0.423797,0.456409,,0.231631,0.253361,0.254498,0.265735,0.270103,0.271274,0.178346,,0.186064,0.192225,0.19325,0.216816,0.405245,0.526843,0.719409,0.857836,0.917777,0.647258,,0.692619,0.666741,0.672253,0.702634,0.703663,0.727595,0.650497,0.671405,0.687044,0.645609,,0.590794,0.621002,0.599499,0.545326,0.539662,0.61134,0.664823,0.629197,0.64239,0.622285,,0.106252,0.200821,0.114203,0.107079,0.110139,0.163011,0.11549,0.116938,0.121414,0.116681,,0.185584,0.190263,0.182594,0.193864,0.203892,0.1881,0.184801,0.180276,0.171988,0.194301,,0.254259,0.253376,0.245855,0.245262,0.240233,0.245626,0.26063,0.252329,0.228412,0.234778,,0.225234,0.232266,0.224776,0.222054,0.220991,0.246208,0.201013,0.218578,0.219993,0.214875
