cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,cell ,,,,,,,,cell ,,,,,,cell ,,,,,,,,cell ,,,,,,,,,cell ,,,,,,,,
1,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,5,,,,,,6,,,,,,,,7,,,,,,,,,8,,,,,,,,
Cell_01_0031_SpTimes,Cell_01_0032_SpTimes,Cell_01_0033_SpTimes,Cell_01_0034_SpTimes,Cell_01_0035_SpTimes,Cell_01_0036_SpTimes,Cell_01_0037_SpTimes,Cell_01_0038_SpTimes,Cell_01_0039_SpTimes,Cell_01_0040_SpTimes,,Cell_01_0041_SpTimes,Cell_01_0042_SpTimes,Cell_01_0043_SpTimes,Cell_01_0044_SpTimes,Cell_01_0045_SpTimes,Cell_01_0046_SpTimes,Cell_01_0047_SpTimes,Cell_01_0048_SpTimes,Cell_01_0049_SpTimes,Cell_01_0050_SpTimes,,Cell_01_0101_SpTimes,Cell_01_0102_SpTimes,Cell_01_0103_SpTimes,Cell_01_0105_SpTimes,Cell_01_0106_SpTimes,Cell_01_0107_SpTimes,Cell_01_0108_SpTimes,Cell_01_0109_SpTimes,Cell_01_0110_SpTimes,,Cell_01_0111_SpTimes,Cell_01_0112_SpTimes,Cell_01_0113_SpTimes,Cell_01_0115_SpTimes,Cell_01_0116_SpTimes,Cell_01_0117_SpTimes,Cell_01_0118_SpTimes,,Cell_01_0003_SpTimes,Cell_01_0005_SpTimes,Cell_01_0006_SpTimes,Cell_01_0008_SpTimes,Cell_01_0009_SpTimes,,Cell_01_0101_SpTimes,Cell_01_0102_SpTimes,Cell_01_0103_SpTimes,Cell_01_0106_SpTimes,Cell_01_0107_SpTimes,Cell_01_0108_SpTimes,Cell_01_0110_SpTimes,,Cell_01_0112_SpTimes,Cell_01_0114_SpTimes,Cell_01_0115_SpTimes,Cell_01_0116_SpTimes,Cell_01_0117_SpTimes,Cell_01_0118_SpTimes,Cell_01_0119_SpTimes,Cell_01_0120_SpTimes,,Cell_01_0121_SpTimes,Cell_01_0122_SpTimes,Cell_01_0123_SpTimes,Cell_01_0124_SpTimes,Cell_01_0125_SpTimes,Cell_01_0127_SpTimes,Cell_01_0128_SpTimes,Cell_01_0129_SpTimes,Cell_01_0130_SpTimes
0.0388109,0.0572704,0.0681626,0.0073933,0.0342063,0.0103184,0.0747441,0.0438524,0.0805057,0.0383356,,0.00794067,0.0140472,0.0222055,0.012992,0.0198333,0.00502702,0.0311213,0.0035,0.0259468,0.00868203,,0.0344052,0.0164092,0.0898692,0.0860868,0.208017,0.034454,0.0959608,0.134631,0.147876,,0.0359849,0.014915,0.0757566,0.0666494,0.392837,0.499829,0.0381581,,0.00689938,5.89422,0.0204904,4.29296,0.00850782,,0.00466235,0.00397349,0.0123995,0.0198006,0.00676542,0.00842212,0.0230365,,0.0413744,0.013486,0.00927018,0.035209,0.0315726,0.0272804,0.00916679,0.0116694,,0.0329599,0.00512407,0.0424952,0.0260751,0.0105408,0.0192612,0.00970506,0.0180171,0.00951461
0.107177,0.149849,0.167079,0.193686,0.112864,0.0918182,0.177074,0.150249,0.16765,0.12969,,0.0401366,0.050477,0.0626011,0.0493692,0.0569432,0.0433148,0.0681411,0.0418648,0.0606372,0.0418762,,0.11303,0.0911284,0.189187,0.178759,0.318564,0.236114,0.17859,0.267912,0.251647,,0.115361,0.0886116,0.131924,0.220447,0.489204,0.608413,0.104042,,0.0317162,5.92176,0.044434,4.32694,0.0220065,,0.0308039,0.0317406,0.0356213,0.0495317,0.037658,0.0349252,0.0533884,,0.0658522,0.0242878,0.0128697,0.074275,0.0425583,0.0759046,0.0274906,0.0367713,,0.0735086,0.0240346,0.0848507,0.0643135,0.0552274,0.0365192,0.0242926,0.0584695,0.0488932
0.201202,0.233048,0.25516,0.283746,0.199457,0.193738,0.263662,0.247622,0.262757,0.230583,,0.0735583,0.0903284,0.106468,0.0895413,0.093534,0.0804428,0.101073,0.0781255,0.0952902,0.113625,,0.245953,0.187985,0.331349,0.295226,0.439494,0.399431,0.239376,0.365139,0.445585,,0.180539,0.169013,0.200991,0.558696,0.542178,0.711686,0.187673,,0.0567576,5.95213,0.0727819,4.47908,0.0477914,,0.062785,0.0602342,0.0389598,0.0751472,0.0640827,0.06565,0.0817795,,0.0856432,0.0299168,0.0232896,0.118831,0.0755084,0.118167,0.0317401,0.046404,,0.114489,0.0248346,0.128365,0.106718,0.0985426,0.0379236,0.0413635,0.10334,0.0988806
0.299491,0.314193,0.342701,0.376195,0.283525,0.273969,0.372845,0.335005,0.3477,0.308299,,0.111277,0.129113,0.138705,0.129434,0.131401,0.113936,0.136701,0.112202,0.127647,0.248358,,0.324652,0.335737,0.421221,0.363738,0.595104,0.522316,0.309514,0.530851,0.573817,,0.283922,0.294347,0.273109,0.627431,0.66466,0.78479,0.324754,,0.0742135,6.07781,0.0961674,4.50299,0.06847,,0.091449,0.0840636,0.0645414,0.104895,0.0940623,0.091133,0.109984,,0.13417,0.0377876,0.040622,0.158614,0.118957,0.161615,0.0455844,0.057302,,0.15544,0.0492193,0.16741,0.147504,0.141883,0.0528545,0.0695112,0.146612,0.138846
0.405173,0.407242,0.418724,0.476396,0.364715,0.359063,0.478508,0.435612,0.424408,0.413267,,0.139856,0.142849,0.179633,0.166498,0.153112,0.148186,0.172761,0.148923,0.164897,0.282876,,0.415321,0.432836,0.554476,0.489991,0.679533,0.640155,0.427026,0.756904,0.684986,,0.417208,0.395693,0.329201,0.724624,0.773882,1.21841,0.392584,,0.0946539,6.10555,0.125247,4.52889,0.0896285,,0.118216,0.117821,0.0911903,0.132084,0.125957,0.118402,0.142088,,0.179024,0.0495328,0.053611,0.206692,0.16302,0.20553,0.0679744,0.0671134,,0.191388,0.0667273,0.203856,0.187592,0.186437,0.0754738,0.0895959,0.190843,0.181938
0.496544,0.501822,0.49808,0.561509,0.447183,0.510971,0.575614,0.523326,0.526645,0.503255,,0.171884,0.165157,0.218325,0.204347,0.169441,0.183234,0.2077,0.188426,0.234649,0.350318,,0.512568,0.528466,0.650938,0.770342,0.787495,0.752371,0.500298,0.877723,0.776669,,0.470806,0.449393,0.404098,0.787044,0.838049,1.28242,0.574533,,0.112641,6.12887,0.1492,4.55636,0.111422,,0.143341,0.143837,0.096865,0.159032,0.150109,0.144438,0.169745,,0.227937,0.0707946,0.0579645,0.247432,0.207655,0.250214,0.0734226,0.0769955,,0.231582,0.0859744,0.216296,0.227752,0.228542,0.0762869,0.105259,0.238026,0.230926
0.578635,0.594387,0.543622,0.642605,0.535311,0.592618,0.670438,0.612543,0.610587,0.608249,,0.205603,0.200158,0.255411,0.236531,0.204657,0.219254,0.240483,0.335386,0.268616,0.42019,,0.609293,0.63011,0.827509,0.901824,0.854704,0.856292,0.623813,1.01163,0.893359,,0.731041,0.536916,0.458352,0.858702,1.01601,1.33844,0.649251,,0.129924,6.15242,0.170956,4.65273,0.130365,,0.168682,0.172399,0.122435,0.189283,0.174932,0.167947,0.197623,,0.260403,0.0874335,0.0737108,0.287751,0.253309,0.287895,0.104778,0.0862191,,0.273242,0.100724,0.24867,0.267359,0.269569,0.104379,0.11456,0.283704,0.279565
0.657997,0.686724,0.577577,0.724475,0.625553,0.679437,0.769504,0.694302,0.706814,0.68734,,0.235256,0.238695,0.299759,0.241391,0.238241,0.256622,0.274999,0.372496,0.302602,0.454246,,0.689534,0.712671,0.922087,1.05534,0.963707,0.981424,0.734764,1.12667,0.965358,,0.860056,0.592405,0.533748,0.949034,1.17965,1.39854,0.715833,,0.147004,6.17927,0.193674,4.67409,0.152266,,0.195531,0.201443,0.15118,0.219377,0.20335,0.17256,0.229624,,0.267592,0.11218,0.0907057,0.331206,0.296233,0.331871,0.115053,0.107591,,0.314092,0.107135,0.287445,0.313193,0.31972,0.106522,0.128123,0.334139,0.332335
0.745404,0.770965,0.67729,0.804419,0.702177,0.760033,0.868169,0.780365,0.795802,0.786121,,0.269727,0.24765,0.335785,0.278407,0.27523,0.293386,0.312786,0.483397,0.333824,0.488515,,0.789121,0.810402,1.09633,1.14771,1.05868,1.09077,0.820121,1.21163,1.04722,,0.966078,0.644111,0.594053,1.01805,1.26022,1.46266,0.754431,,0.165102,6.20953,0.216934,4.77716,0.174286,,0.22208,0.229953,0.176374,0.248905,0.229751,0.199617,0.255025,,0.313106,0.118419,0.0955742,0.374037,0.341466,0.371312,0.144826,0.118531,,0.351598,0.120702,0.331115,0.351806,0.36343,0.122546,0.141319,0.383614,0.373394
0.837653,0.851755,0.737057,0.903959,0.866597,0.825042,0.964304,0.864922,0.885636,0.878606,,0.305328,0.269696,0.373393,0.2801,0.314031,0.331834,0.347992,0.519709,0.37165,0.554107,,0.949044,0.936941,1.20362,1.24024,1.21841,1.18238,0.89158,1.3206,1.17279,,1.00677,0.752993,0.64528,1.12872,1.43455,1.56429,0.853065,,0.177254,6.29854,0.245603,4.81445,0.193942,,0.251384,0.258246,0.200178,0.275525,0.257781,0.22693,0.285261,,0.364073,0.125673,0.109495,0.412414,0.382036,0.418878,0.149682,0.128362,,0.390261,0.141353,0.369379,0.395097,0.399322,0.128938,0.155111,0.428941,0.39469
